actors,comment_count,director,name,profile,publication_date,star
主演:戴夫...,425512人评价,导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan,贫民窟的百万富翁,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008 / 英国美国 / 剧情爱情,8.5
主演:雷·沃纳尔LeighWhannell/加利·艾...,216883人评价,导演:詹姆斯·温JamesWan,电锯惊魂,真相就在眼前。,2004 / 美国 / 悬疑惊悚恐怖,8.7
主演:休·格兰特HughGrant/柯林...,341193人评价,导演:理查德·柯蒂斯RichardCurtis,真爱至上,爱，是个动词。,2003 / 英国美国法国 / 喜剧剧情爱情,8.5
主演:马特·达蒙MattDamon/...,197297人评价,导演:保罗·格林格拉斯PaulGreengrass,谍影重重3,像吃了苏打饼一样干脆的电影。,2007 / 美国德国 / 动作悬疑惊悚,8.7
主演:...,104506人评价,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud,海洋,大海啊，不全是水。,2009 / 法国瑞士西班牙美国阿联酋 / 纪录片,9.0
主演:张国荣LeslieCheung/张曼玉MaggieC...,277109人评价,导演:王家卫KarWaiWong,东邪西毒,电影诗。,1994 / 香港台湾 / 剧情动作爱情武侠古装,8.6
主演:约...,268670人评价,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman,怪兽电力公司,不要给它起名字，起了名字就有感情了。,2001 / 美国 / 儿童喜剧动画奇幻冒险,8.6
主演:盖·皮尔斯GuyPearce/...,304683人评价,导演:克里斯托弗·诺兰ChristopherNolan,记忆碎片,一个针管引发的血案。,2000 / 美国 / 犯罪剧情悬疑惊悚,8.5
主演:达斯汀·霍夫曼DustinHoffman...,225571人评价,导演:巴瑞·莱文森BarryLevinson,雨人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,1988 / 美国 / 剧情,8.6
主演:娜塔莉·波特曼Natalie...,453903人评价,导演:达伦·阿罗诺夫斯基DarrenAronofsky,黑天鹅,黑暗之美。,2010 / 美国 / 剧情惊悚,8.5
主演...,403543人评价,导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders,疯狂原始人,老少皆宜，这就是好莱坞动画的魅力。,2013 / 美国 / 喜剧动画冒险,8.7
主演:唐·钱德尔DonCheadle/苏菲·奥...,132189人评价,导演:特瑞·乔治TerryGeorge,卢旺达饭店,当这个世界闭上双眼，他却敞开了怀抱。,2004 / 英国南非意大利美国 / 剧情历史战争,8.9
主演:桥本爱AiHashimoto/三浦贵大Takahir...,133981人评价,导演:森淳一JunichiMori,小森林 冬春篇,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,2015 / 日本 / 剧情,8.9
主演:安东尼·霍普金斯AnthonyHopki...,158189人评价,导演:爱德华·兹威克EdwardZwick,燃情岁月,传奇，不是每个人都可以拥有。,1994 / 美国 / 剧情爱情西部家庭,8.7
主演:周润发Yun-FatChow/狄龙LungTi/张国...,189247人评价,导演:吴宇森JohnWoo,英雄本色,英雄泪短，兄弟情长。 ,1986 / 香港 / 动作犯罪,8.6
主演:路易·德·菲耐斯LouisdeFunès...,115359人评价,导演:杰拉尔·乌里GérardOury,虎口脱险,永远看不腻的喜剧。,1966 / 法国英国 / 喜剧战争,8.9
主演:柳承龙Seung-yongRyoo/朴信惠Shi...,198348人评价,导演:李焕庆Hwan-kyeongLee,7号房的礼物,《我是山姆》的《美丽人生》。,2013 / 韩国 / 剧情喜剧家庭,8.7
主演:丹尼尔·雷德克里夫DanielRadcliffe...,301009人评价,导演:大卫·叶茨DavidYates,哈利·波特与死亡圣器(下),10年的完美句点。,2011 / 美国英国 / 剧情悬疑奇幻冒险,8.7
主演:霍卫民WeiminHuo/王笑天XiaotianWang...,201177人评价,导演:忻钰坤YukunXin,心迷宫,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,2014 / 中国大陆 / 剧情犯罪悬疑,8.6
主演:达里奥·葛兰帝内提Darío...,161028人评价,导演:达米安·斯兹弗隆DamiánSzifron,荒蛮故事,始于荒诞，止于更荒诞。,2014 / 阿根廷西班牙 / 剧情喜剧犯罪,8.8
主演:凯拉·奈特莉KeiraKnightley/马修·...,333071人评价,导演:乔·怀特JoeWright,傲慢与偏见,爱是摈弃傲慢与偏见之后的曙光。,2005 / 法国英国美国 / 剧情爱情,8.5
主演:佐仓绫音AyaneSakura/内山昂辉K...,177384人评价,导演:大森贵弘TakahiroOmori,萤火之森,触不到的恋人。,2011 / 日本 / 剧情爱情动画奇幻,8.7
主演:卡西·阿弗莱克CaseyAffle...,221055人评价,导演:肯尼斯·罗纳根KennethLonergan,海边的曼彻斯特,我们都有权利不与自己的过去和解。,2016 / 美国 / 剧情家庭,8.6
主演:凯文·科斯特纳KevinCos...,90456人评价,导演:克林特·伊斯特伍德ClintEastwood,完美的世界,坏人的好总是比好人的好来得更感人。,1993 / 美国 / 剧情犯罪,9.0
主演:瑞恩·高斯林RyanGosling/...,311053人评价,导演:尼克·卡索维茨NickCassavetes,恋恋笔记本,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,2004 / 美国 / 剧情爱情,8.5
主演:阿尔·帕西诺A...,144547人评价,导演:弗朗西斯·福特·科波拉FrancisFordCoppola,教父3,任何信念的力量，都无法改变命运。,1990 / 美国 / 剧情犯罪,8.8
主演:周润发Yun-FatChow/张国荣LeslieCheung...,163842人评价,导演:吴宇森JohnWoo,纵横四海,香港浪漫主义警匪动作片的巅峰之作。,1991 / 香港 / 剧情喜剧动作犯罪,8.7
主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...,270556人评价,导演:王家卫KarWaiWong,花样年华,偷情本没有这样美。,2000 / 香港 / 剧情爱情,8.5
主演:汤姆·汉克斯TomHanks/蒂姆·艾...,208134人评价,导演:李·昂克里奇LeeUnkrich,玩具总动员3,跨度十五年的欢乐与泪水。,2010 / 美国 / 喜剧动画奇幻冒险,8.8
主演:蒂莫西·柴勒梅德Timothée...,199596人评价,导演:卢卡·圭达尼诺LucaGuadagnino,请以你的名字呼唤我,沉醉在电影的情感和视听氛围中无法自拔。,2017 / 意大利法国巴西美国 / 剧情爱情同性,8.8
主演:周星驰StephenChow/巩俐LiGong/陈...,371118人评价,导演:李力持Lik-ChiLee,唐伯虎点秋香,华太师是黄霑，吴镇宇四大才子之一。,1993 / 香港 / 喜剧爱情古装,8.4
主演:斯科特...,410057人评价,导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams,超能陆战队,Balalala~~~,2014 / 美国 / 喜剧动作科幻动画冒险,8.6
主演:伊万·麦克格雷格EwanMcGregor/...,265734人评价,导演:丹尼·博伊尔DannyBoyle,猜火车,不可猜的青春迷笛。 ,1996 / 英国 / 犯罪剧情,8.5
主演:VivienLeigh/RobertTaylor/LucileWatson,139183人评价,导演:MervynLeRoy,魂断蓝桥,中国式内在的美国电影。,1940 / 美国 / 剧情战争爱情,8.8
主演:多姆纳尔·格利森DomhnallGl...,225254人评价,导演:理查德·柯蒂斯RichardCurtis,时空恋旅人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013 / 英国 / 剧情爱情奇幻,8.6
主演:仲里依纱RiisaNaka/石田卓也Takuya...,200546人评价,导演:细田守MamoruHosoda,穿越时空的少女,爱上未来的你。 ,2006 / 日本 / 剧情爱情科幻动画,8.6
主演:克里斯蒂安·贝尔Christ...,320939人评价,导演:克里斯托弗·诺兰ChristopherNolan,蝙蝠侠：黑暗骑士崛起,诺兰就是保证。,2012 / 美国英国 / 剧情动作科幻犯罪惊悚,8.6
主演:GeneKelly/DonaldO'Connor/...,100293人评价,导演:StanleyDonen/GeneKelly,雨中曲,骨灰级歌舞片。,1952 / 美国 / 喜剧歌舞爱情,9.0
主演:,115139人评价,导演:郭柯KeGuo,二十二,有一些东西不应该被遗忘。,2015 / 中国大陆 / 纪录片,8.7
主演:SeanPenn/DakotaFanning/Mi...,114899人评价,导演:杰茜·尼尔森JessieNelson,我是山姆,爱并不需要智商 。,2001 / 美国 / 剧情家庭,8.8
主演:海利·乔·奥斯蒙Haley...,206898人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg,人工智能,对爱的执着，可以超越一切。,2001 / 美国 / 冒险剧情科幻,8.6
主演:马修·麦康纳MatthewMcCon...,199318人评价,导演:让-马克·瓦雷Jean-MarcVallée,达拉斯买家俱乐部,Jared Leto的腿比女人还美！,2013 / 美国 / 剧情传记同性,8.7
主演...,295636人评价,导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge,冰川时代,松鼠才是角儿。,2002 / 美国 / 喜剧动画冒险,8.4
主演:尤尔根·沃格尔JürgenVogel...,144033人评价,导演:丹尼斯·甘塞尔DennisGansel,浪潮,世界离独裁只有五天。,2008 / 德国 / 剧情惊悚,8.7
主演:凯特·温丝莱特KateWinslet...,295237人评价,导演:史蒂芬·戴德利StephenDaldry,朗读者,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,2008 / 美国德国 / 剧情爱情,8.5
主演:本·卫肖BenWhishaw/艾伦·瑞克...,298830人评价,导演:汤姆·提克威TomTykwer,香水,一个单凭体香达到高潮的男人。,2006 / 德国法国西班牙美国 / 剧情犯罪奇幻,8.4
主演:迈尔斯·特勒MilesTeller/...,260610人评价,导演:达米安·沙泽勒DamienChazelle,爆裂鼓手,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,2014 / 美国 / 剧情音乐,8.6
主演:三船敏郎ToshirôMifune/千秋实...,137613人评价,导演:黑泽明AkiraKurosawa,罗生门,人生的N种可能性。,1950 / 日本 / 犯罪剧情悬疑,8.7
主演:岩男润子JunkoIwao/松本梨香RicaMatsu...,109616人评价,导演:今敏SatoshiKon,未麻的部屋,好的剧本是，就算你猜到了结局也猜不到全部。,1997 / 日本 / 动画奇幻惊悚,8.8
主演:张国荣LeslieCheung/张曼玉MaggieC...,226083人评价,导演:王家卫KarWaiWong,阿飞正传,王家卫是一种风格，张国荣是一个代表。,1990 / 香港 / 犯罪剧情爱情,8.5
主演:佩曼·莫阿迪PeymanMoadi/...,142596人评价,导演:阿斯哈·法哈蒂AsgharFarhadi,一次别离,只有有信仰的人才能说出事实真相。,2011 / 伊朗法国 / 剧情家庭,8.7
主演:杰里米·西奥伯德Jeremy...,88687人评价,导演:克里斯托弗·诺兰ChristopherNolan,追随,诺兰的牛逼来源于内心散发出的恐惧。,1998 / 英国 / 犯罪悬疑惊悚,8.9
主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...,139749人评价,导演:陆川ChuanLu,可可西里,坚硬的信仰。,2004 / 中国大陆香港 / 剧情犯罪,8.7
主演:桑德拉·布洛克SandraBullock/...,185857人评价,导演:保罗·哈吉斯PaulHaggis,撞车,天使与魔鬼的冲撞。,2004 / 美国德国 / 犯罪剧情,8.6
主演:杰米·福克斯JamieFoxx/...,280262人评价,导演:昆汀·塔伦蒂诺QuentinTarantino,被解救的姜戈,热血沸腾，那个低俗、性感的无耻混蛋又来了。,2012 / 美国 / 剧情动作西部冒险,8.6
主演:梅利莎·乔治Melissa...,358025人评价,导演:克里斯托弗·史密斯ChristopherSmith,恐怖游轮,不要企图在重复中寻找已经失去的爱。,2009 / 英国澳大利亚 / 剧情悬疑惊悚,8.3
主演:安德鲁·加菲尔德AndrewGarfield/...,351833人评价,导演:梅尔·吉布森MelGibson,血战钢锯岭,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,2016 / 美国澳大利亚 / 剧情传记历史战争,8.6
主演:尼古拉斯·凯奇NicolasCage/...,187104人评价,导演:安德鲁·尼科尔AndrewNiccol,战争之王,做一颗让别人需要你的棋子。,2005 / 美国法国 / 剧情犯罪,8.6
主演:达席尔·萨法瑞DarsheelSafary/阿...,93322人评价,导演:阿米尔·汗AamirKhan,地球上的星星,天使保护事件始末。,2007 / 印度 / 剧情儿童家庭,8.8
,251024人评价,导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen  &nb...,头脑特工队,愿我们都不用长大，每一座城堡都能永远存在。,2015 / 美国 / 喜剧动画冒险,8.7
主演:艾伦·伯斯汀EllenBur...,120275人评价,导演:达伦·阿伦诺夫斯基DarrenAronofsky,梦之安魂曲,一场没有春天的噩梦。,2000 / 美国 / 剧情,8.7
主演:布丽·拉尔森BrieLarson...,173400人评价,导演:伦尼·阿伯拉罕森LennyAbrahamson,房间,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2015 / 爱尔兰加拿大英国美国 / 剧情家庭,8.8
主演:张震ChenChang/杨静怡LisaYang/张...,116747人评价,导演:杨德昌EdwardYang,牯岭街少年杀人事件,弱者送给弱者的一刀。,1991 / 台湾 / 剧情犯罪,8.7
主演:高山南MinamiTakayama/佐久间玲Re...,212683人评价,导演:宫崎骏HayaoMiyazaki,魔女宅急便,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,1989 / 日本 / 动画奇幻冒险,8.5
主演:马特·达蒙MattDamon/弗兰卡·波坦...,206809人评价,导演:道格·里曼DougLiman,谍影重重,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,2002 / 美国德国捷克 / 动作悬疑惊悚,8.5
主演:马特·达蒙MattDamon/...,171731人评价,导演:保罗·格林格拉斯PaulGreengrass,谍影重重2,谁说王家卫镜头很晃？,2004 / 美国德国 / 动作悬疑惊悚,8.6
主演:山本圭KeiYamamoto/井川比佐志Hisa...,66668人评价,导演:SeijirôKôyama,忠犬八公物语,养狗三日，便会对你终其一生。,1987 / 日本 / 剧情,9.0
主演:JanetLeigh/AnthonyPerkins/VeraMiles,91381人评价,导演:AlfredHitchcock,惊魂记,故事的反转与反转，分裂电影的始祖。,1960 / 美国 / 悬疑惊悚恐怖,8.9
主演:柳乐优弥YûyaYagira/北浦爱...,69761人评价,导演:是枝裕和HirokazuKoreeda,无人知晓,我的平常生活就是他人的幸福。,2004 / 日本 / 剧情,9.0
主演:本尼迪克特·康伯巴奇BenedictC...,278634人评价,导演:莫腾·泰杜姆MortenTyldum,模仿游戏,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,2014 / 英国美国 / 剧情传记战争同性,8.6
主演:张曼玉MaggieCheung/王祖贤JoeyWang/...,240364人评价,导演:徐克HarkTsui,青蛇,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,1993 / 香港 / 剧情奇幻古装,8.4
主演:凯拉·奈特莉KeiraKnightley/马克...,187606人评价,导演:约翰·卡尼JohnCarney,再次出发之纽约遇见你,爱我就给我看你的播放列表。,2013 / 美国 / 喜剧爱情音乐,8.5
主演:神木隆之介RyûnosukeKamiki/上...,525881人评价,导演:新海诚MakotoShinkai,你的名字。,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,2016 / 日本 / 剧情爱情动画,8.4
主演:梁正晖Zhenghui...,88369人评价,导演:严定宪DingxianYan/王树忱ShuchenWang,哪吒闹海,想你时你在闹海。,1979 / 中国大陆 / 冒险动画奇幻,8.9
主演:罗夫·拉斯加德RolfLassgård...,135391人评价,导演:汉内斯·赫尔姆HannesHolm,一个叫欧维的男人决定去死,惠及一生的美丽。,2015 / 瑞典 / 剧情,8.7
主演:笠智众ChishûRyû/原节...,55947人评价,导演:小津安二郎YasujirôOzu,东京物语,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,1953 / 日本 / 剧情家庭,9.2
主演:马可·贾利尼MarcoGiallini...,222374人评价,导演:保罗·格诺维瑟PaoloGenovese,完美陌生人,,2016 / 意大利 / 剧情喜剧,8.6
主演:萨尔曼·汗SalmanKhan/哈莎莉·马...,178969人评价,导演:卡比尔·汗KabirKhan,小萝莉的猴神大叔,,2015 / 印度 / 剧情喜剧动作,8.5
主演:让-马克·巴尔Jean-MarcBarr/让·雷诺JeanRe...,112312人评价,导演:LucBesson,碧海蓝天,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,1988 / 法国美国意大利 / 剧情爱情,8.7
主演:杰克·吉伦哈尔JakeGyllenhaal/...,436676人评价,导演:邓肯·琼斯DuncanJones,源代码,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,2011 / 美国加拿大 / 科幻悬疑惊悚,8.3
主演:KeanuReeves/LaurenceF...,169184人评价,导演:AndyWachowski/LarryWachowski,黑客帝国3：矩阵革命,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,2003 / 美国澳大利亚 / 动作科幻,8.5
主演:吉娜·戴维斯GeenaDavis/苏...,113414人评价,导演:雷德利·斯科特RidleyScott,末路狂花,没有了退路，只好飞向自由。,1991 / 美国法国 / 犯罪剧情惊悚,8.7
主演:阿诺·施瓦辛格ArnoldSchwarz...,151897人评价,导演:詹姆斯·卡梅隆JamesCameron,终结者2：审判日,少见的超越首部的续集，动作片中的经典。,1991 / 美国法国 / 动作科幻,8.6
主演:张曼玉MaggieCheung/林青霞Brigitte...,199752人评价,导演:李惠民RaymondLee,新龙门客栈,嬉笑怒骂，调风动月。,1992 / 香港中国大陆 / 剧情动作武侠古装,8.5
主演:水桥研二KenjiMizuhashi/近藤好美...,323988人评价,导演:新海诚MakotoShinkai,秒速5厘米,青春就是放弃和怀念。,2007 / 日本 / 动画剧情爱情,8.3
主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM...,114770人评价,导演:FrankDarabont,绿里奇迹,天使暂时离开。,1999 / 美国 / 犯罪剧情奇幻悬疑,8.7
主演:比尔·奈伊BillNighy/肯尼...,173296人评价,导演:理查德·柯蒂斯RichardCurtis,海盗电台,生命不止，摇滚不死。,2009 / 英国德国法国 / 剧情喜剧音乐,8.6
主演:大卫·李·史密斯David...,197063人评价,导演:理查德·沙因克曼RichardSchenkman,这个男人来自地球,科幻真正的魅力不是视觉效果能取代的。 ,2007 / 美国 / 剧情科幻,8.5
主演:肖恩·康纳利SeanConnery/尼古拉...,151006人评价,导演:迈克尔·贝MichaelBay,勇闯夺命岛,类型片的极致。 ,1996 / 美国 / 动作冒险,8.6
主演:查理·卓别林CharlesChaplin/弗吉尼亚·...,48492人评价,导演:CharlesChaplin,城市之光,永远的小人物，伟大的卓别林。,1931 / 美国 / 喜剧剧情爱情,9.2
主演:亨弗莱·鲍嘉HumphreyBogart/英格丽·褒曼...,133234人评价,导演:MichaelCurtiz,卡萨布兰卡,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,1942 / 美国 / 剧情爱情战争,8.6
主演:布拉德·皮特BradPitt/梅拉尼·罗兰M...,238709人评价,导演:QuentinTarantino,无耻混蛋,昆汀同学越来越变态了，比北野武还杜琪峰。,2009 / 美国德国 / 剧情犯罪,8.4
,495624人评价,导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...,初恋这件小事,黑小鸭速效美白记。,2010 / 泰国 / 剧情喜剧爱情,8.3
主演:约翰·特拉沃尔塔JohnTravolta/尼古拉斯...,227910人评价,导演:吴宇森JohnWoo,变脸,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,1997 / 美国 / 动作科幻犯罪惊悚,8.4
主演:HenryThomas/DeeWallace/RobertMacNa...,165056人评价,导演:StevenSpielberg,E.T. 外星人,生病的E.T.皮肤的颜色就像柿子饼。,1982 / 美国 / 剧情科幻,8.5
主演:MalcolmMcDowell/PatrickMagee/Michael...,197775人评价,导演:StanleyKubrick,发条橙,我完全康复了。,1971 / 英国美国 / 犯罪剧情科幻,8.4
主演:伊桑·霍克EthanHawke...,126784人评价,导演:理查德·林克莱特RichardLinklater,爱在午夜降临前,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,2013 / 美国 / 剧情爱情,8.8
主演:ClintEastwood/EliWallach/LeeVanCleef,55716人评价,导演:SergioLeone,黄金三镖客,最棒的西部片。,1966 / 意大利西班牙西德 / 冒险西部,9.1
主演:凯文·史派西KevinSpacey/安妮特...,197397人评价,导演:萨姆·门德斯SamMendes,美国丽人,每个人的内心都是深不可测的大海。 ,1999 / 美国 / 剧情爱情家庭,8.4
主演:埃米尔·赫斯基EmileHirsch/马西娅·...,135563人评价,导演:西恩·潘SeanPenn,荒野生存,出门必备：本草纲目。,2007 / 美国 / 冒险传记剧情,8.6
主演:约翰·C·赖利JohnC.Reilly/萨拉...,199049人评价,导演:瑞奇·莫尔RichMoore,无敌破坏王,迪士尼和皮克斯拿错剧本的产物。,2012 / 美国 / 喜剧动画奇幻冒险,8.6
主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin,342808人评价,导演:宁浩HaoNing,疯狂的石头,中国版《两杆大烟枪》。,2006 / 中国大陆香港 / 喜剧犯罪,8.3
主演:阿部宽HiroshiAbe/夏川结衣Yu...,86792人评价,导演:是枝裕和HirokazuKoreeda,步履不停,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,2008 / 日本 / 剧情家庭,8.8
主演:...,54161人评价,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud,迁徙的鸟,最美的飞翔。,2001 / 法国德国意大利西班牙瑞士 / 纪录片,9.1
主演:拉尔夫·费因斯RalphFien...,182878人评价,导演:安东尼·明格拉AnthonyMinghella,英国病人,"In memory, love lives forever...",1996 / 美国英国 / 爱情剧情战争,8.4
主演:恰拉Chara/伊藤步AyumiIto/三上...,112381人评价,导演:岩井俊二ShunjiIwai,燕尾蝶,现实与童话交相辉映的旅程。,1996 / 日本 / 犯罪剧情,8.6
主演:史蒂芬·鲍德温StephenBaldwin/...,124487人评价,导演:布莱恩·辛格BryanSinger,非常嫌疑犯,我不信仰上帝，但我敬畏上帝。,1995 / 德国美国 / 剧情犯罪悬疑惊悚,8.6
主演:艾米丽·芭尔多尼Em...,198612人评价,导演:詹姆斯·沃德·布柯特JamesWardByrkit,彗星来的那一夜,小成本大魅力。,2013 / 美国英国 / 科幻悬疑惊悚,8.4
主演:柯林·菲尔斯ColinFirth/杰弗里·...,362485人评价,导演:汤姆·霍珀TomHooper,国王的演讲,皇上无话儿。,2010 / 英国澳大利亚美国 / 剧情传记历史,8.3
主演:莱昂纳多·迪卡普里奥Leonardo...,143519人评价,导演:爱德华·兹威克EdwardZwick,血钻,每个美丽事物背后都是滴血的现实。,2006 / 美国德国 / 剧情惊悚冒险,8.5
主演:绫濑遥HarukaAyase/长泽雅美M...,143102人评价,导演:是枝裕和HirokazuKoreeda,海街日记,,2015 / 日本 / 剧情家庭,8.6
主演:汤姆·哈迪TomHardy/乔尔·...,92621人评价,导演:加文·欧康诺GavinO'Connor,勇士,热血沸腾，相当完美的娱乐拳击大餐。,2011 / 美国 / 剧情运动家庭,8.9
主演:詹姆斯·沃克JamesWolk/特里特·...,115338人评价,导演:彼得·维纳PeterWerner,叫我第一名,乐观比一切都有力量。,2008 / 美国 / 剧情传记,8.6
主演:娜奥米·沃茨NaomiWatts/劳拉·哈...,249735人评价,导演:大卫·林奇DavidLynch,穆赫兰道,大卫·林奇的梦境迷宫。,2001 / 法国美国 / 剧情悬疑惊悚,8.3
主演:马克·鲁弗洛MarkRuffalo/...,138377人评价,导演:托马斯·麦卡锡ThomasMcCarthy,聚焦,,2015 / 美国 / 剧情传记,8.8
主演:MariusWeyers/SandraPrinsloo/N!xau,101677人评价,导演:JamieUys,上帝也疯狂,纯净原始的笑与感动。,1980 / 博茨瓦纳南非 / 喜剧,8.6
主演:吴镇宇FrancisNg/任达华SimonYam/...,106937人评价,导演:杜琪峰JohnnieTo,枪火,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,1999 / 香港 / 剧情动作犯罪,8.6
主演:杰克·尼科尔森JackNicholson/摩根...,140387人评价,导演:罗伯·莱纳RobReiner,遗愿清单,用剩余不多的时间，去燃烧整个生命。,2007 / 美国 / 冒险喜剧剧情,8.5
主演:宋在河Jae-hoSong/李顺载Soon-jae...,62766人评价,导演:秋昌民Chang-minChoo,我爱你,你要相信，这世上真的有爱存在，不管在什么年纪 ,2011 / 韩国 / 剧情爱情,9.0
主演:乔什·哈奈特JoshHartnett/...,125366人评价,导演:雷德利·斯科特RidleyScott,黑鹰坠落,还原真实而残酷的战争。,2001 / 美国 / 动作历史战争,8.5
主演:汤姆·汉克斯TomHanks/...,144483人评价,导演:罗伯特·泽米吉斯RobertZemeckis,荒岛余生,一个人的独角戏。,2000 / 美国 / 冒险剧情,8.5
主演:凯文·史派西KevinSpacey/凯特·温丝莱特Kat...,101731人评价,导演:AlanParker,大卫·戈尔的一生,捍卫人权只是信仰，一点不妨碍其行为的残忍。,2003 / 美国德国英国 / 剧情犯罪悬疑,8.6
主演:伊桑·霍克EthanHawke/乌玛...,93248人评价,导演:安德鲁·尼科尔AndrewNiccol,千钧一发,一部能引人思考的科幻励志片。,1997 / 美国 / 剧情科幻,8.7
主演:陈柏霖Bo-linChen/桂纶镁LunmeiKwa...,284652人评价,导演:易智言Chih-yenYee,蓝色大门,青春的窃窃私语。 ,2002 / 台湾法国 / 剧情爱情同性,8.3
主演:金艺芬Eul-boonKim/俞承豪Seung-...,50492人评价,导演:李廷香Jeong-hyangLee,爱·回家,献给所有外婆的电影。,2002 / 韩国 / 剧情家庭,9.0
